Year,Trt,TrtO,Season,Drainage,Nitrate load,Flow-weighted nitrate-N concentration
2011,CP-SPUREA-150-S,CPPUREA-150,2,25.59366586,24.67599095,9.641444524
2011,CP-SPUREA-150-C,CPPUREA-150,2,24.39048614,24.40254901,10.00494572
2011,CP-SPUREA-150-C,CPPUREA-150,2,29.48750618,27.82442032,9.436003218
2011,CP-SPUREA-150-S,CPPUREA-150,2,21.70090656,28.17820549,12.98480569
2011,CP-SPUREA-150-S,CPPUREA-150,2,3.6380928,4.115414682,11.31201129
2011,CP-SPUREA-150-S,CPPUREA-150,2,15.8540135,24.95280306,15.73910799
2011,CP-SPUREA-150-C,CPPUREA-150,2,14.76509722,20.47452718,13.86684211
2011,CP-SPUREA-150-C,CPPUREA-150,2,27.49335827,33.37065365,12.13771462
2011,CP-SP-150-C,CPP-150,2,25.84008243,26.747702,10.35124484
2011,CP-SP-150-S,CPP-150,2,26.87326502,32.06316315,11.93124956
2011,CP-SP-150-C,CPP-150,2,23.36294438,29.95540614,12.82175981
2011,CP-SP-150-S,CPP-150,2,33.98740269,41.99307303,12.35548165
2011,CP-SP-150-C,CPP-150,2,19.38842554,36.23526179,18.68912033
2011,CP-SP-150-C,CPP-150,2,24.11570285,46.70834651,19.36843674
2011,CP-SP-150-S,CPP-150,2,24.8619264,34.23182167,13.76877283
2011,CP-SP-150-S,CPP-150,2,12.09631718,15.23465556,12.59445774
2011,CP-SPPOLY-150-S,CPPPOLY-150,2,21.10103578,17.63246585,8.356208688
2011,CP-SPPOLY-150-S,CPPPOLY-150,2,4.821789696,4.100861158,8.504852797
2011,CP-SPPOLY-150-C,CPPPOLY-150,2,37.98268858,34.21331896,9.007608529
2011,CP-SPPOLY-150-C,CPPPOLY-150,2,23.03463821,25.96708447,11.2730594
2011,CP-SPPOLY-150-C,CPPPOLY-150,2,13.50161587,18.27614991,13.53626861
2011,CP-SPPOLY-150-S,CPPPOLY-150,2,23.37152755,32.72218401,14.00087518
2011,CP-SPPOLY-150-S,CPPPOLY-150,2,22.7405184,25.97985501,11.42447791
2011,CP-SPPOLY-150-C,CPPPOLY-150,2,10.81020749,12.37291659,11.4455866
2012,CP-SPUREA-150-C,CPPUREA-150,2,0.92317824,1.190219898,12.8926338
2012,CP-SPUREA-150-S,CPPUREA-150,2,1.898148096,2.184995013,11.51119355
2012,CP-SPUREA-150-S,CPPUREA-150,2,5.06601984,6.971368151,13.76103602
2012,CP-SPUREA-150-C,CPPUREA-150,2,0,0,
2012,CP-SPUREA-150-C,CPPUREA-150,2,1.319759616,1.669163027,12.64747767
2012,CP-SPUREA-150-C,CPPUREA-150,2,0.322258944,0.508155048,15.76853204
2012,CP-SPUREA-150-S,CPPUREA-150,2,1.992562944,2.240004227,11.24182417
2012,CP-SPUREA-150-S,CPPUREA-150,2,0.87733632,1.221241323,13.91987651
2012,CP-SP-150-S,CPP-150,2,5.904926976,5.340433331,9.044029422
2012,CP-SP-150-C,CPP-150,2,6.895112448,7.347209381,10.65567739
2012,CP-SP-150-S,CPP-150,2,3.933236736,4.456846746,11.33124458
2012,CP-SP-150-C,CPP-150,2,1.169261568,1.759161195,15.04506128
2012,CP-SP-150-S,CPP-150,2,1.674400512,3.137219359,18.73637362
2012,CP-SP-150-S,CPP-150,2,1.178332416,2.286658537,19.40588671
2012,CP-SP-150-C,CPP-150,2,0.087879936,0.142086401,16.16824134
2012,CP-SP-150-C,CPP-150,2,1.186232832,1.791314498,15.10086764
2012,CP-SPPOLY-150-C,CPPPOLY-150,2,0,0,
2012,CP-SPPOLY-150-C,CPPPOLY-150,2,1.177454592,1.198276787,10.17684075
2012,CP-SPPOLY-150-S,CPPPOLY-150,2,2.645078784,2.5366589,9.590107166
2012,CP-SPPOLY-150-S,CPPPOLY-150,2,0,0,
2012,CP-SPPOLY-150-S,CPPPOLY-150,2,0.012972288,0.016190613,12.48092302
2012,CP-SPPOLY-150-C,CPPPOLY-150,2,0.51889152,0.661105886,12.74073406
2012,CP-SPPOLY-150-C,CPPPOLY-150,2,1.47913344,2.332376304,15.76853204
2012,CP-SPPOLY-150-S,CPPPOLY-150,2,0,0,
2013,CP-SPUREA-150-S,CPPUREA-150,2,28.78986368,61.58358923,21.39071929
2013,CP-SPUREA-150-C,CPPUREA-150,2,16.20258278,24.76281794,15.28325346
2013,CP-SPUREA-150-C,CPPUREA-150,2,21.17478112,33.14245221,15.65185114
2013,CP-SPUREA-150-S,CPPUREA-150,2,8.014435584,15.68106915,19.56603056
2013,CP-SPUREA-150-S,CPPUREA-150,2,20.13357619,50.24469483,24.95567322
2013,CP-SPUREA-150-S,CPPUREA-150,2,7.020738816,17.75587829,25.29061222
2013,CP-SPUREA-150-C,CPPUREA-150,2,20.28144077,45.90657024,22.6347678
2013,CP-SPUREA-150-C,CPPUREA-150,2,24.01004698,59.41542235,24.74606668
2013,CP-SP-150-C,CPP-150,2,24.73601555,37.24975063,15.058913
2013,CP-SP-150-S,CPP-150,2,23.59298304,49.25712271,20.87786976
2013,CP-SP-150-C,CPP-150,2,26.59972531,43.93303233,16.51634813
2013,CP-SP-150-S,CPP-150,2,24.84885658,64.0293084,25.76750693
2013,CP-SP-150-C,CPP-150,2,29.40564096,74.81410056,25.44209142
2013,CP-SP-150-C,CPP-150,2,25.45045862,71.75694392,28.19475475
2013,CP-SP-150-S,CPP-150,2,25.25246054,59.53512959,23.57597173
2013,CP-SP-150-S,CPP-150,2,18.17124941,32.01472886,17.61834211
2013,CP-SPPOLY-150-S,CPPPOLY-150,2,7.405615872,15.16539594,20.47823733
2013,CP-SPPOLY-150-S,CPPPOLY-150,2,24.01619174,28.40674685,11.82816458
2013,CP-SPPOLY-150-C,CPPPOLY-150,2,21.87225293,32.25667139,14.74775895
2013,CP-SPPOLY-150-C,CPPPOLY-150,2,18.4843481,35.83441288,19.38635471
2013,CP-SPPOLY-150-C,CPPPOLY-150,2,11.51149133,23.70516412,20.59260911
2013,CP-SPPOLY-150-S,CPPPOLY-150,2,20.21472614,41.37985114,20.47015173
2013,CP-SPPOLY-150-S,CPPPOLY-150,2,23.00971776,34.21500679,14.86980725
2013,CP-SPPOLY-150-C,CPPPOLY-150,2,20.21960294,43.15662385,21.34395219
2014,CP-SPUREA-150-C,CPPUREA-150,2,17.06567885,36.98073844,21.66965567
2014,CP-SPUREA-150-S,CPPUREA-150,2,16.83873967,24.01457351,14.26150293
2014,CP-SPUREA-150-S,CPPUREA-150,2,13.90164894,26.64620112,19.16765503
2014,CP-SPUREA-150-C,CPPUREA-150,2,6.405384192,15.41323794,24.0629406
2014,CP-SPUREA-150-C,CPPUREA-150,2,19.50066509,49.56195134,25.41551845
2014,CP-SPUREA-150-C,CPPUREA-150,2,10.582656,27.38337784,25.87571385
2014,CP-SPUREA-150-S,CPPUREA-150,2,11.80912243,23.33273753,19.75823154
2014,CP-SPUREA-150-S,CPPUREA-150,2,13.75999415,33.56576007,24.39373134
2014,CP-SP-150-S,CPP-150,2,13.90366468,23.18172416,16.67310359
2014,CP-SP-150-C,CPP-150,2,16.63349683,26.49272737,15.92733485
2014,CP-SP-150-S,CPP-150,2,13.51605662,21.97259701,16.25666245
2014,CP-SP-150-C,CPP-150,2,15.9606935,35.95273214,22.52579572
2014,CP-SP-150-S,CPP-150,2,14.12730931,27.75295533,19.6448982
2014,CP-SP-150-S,CPP-150,2,15.62965632,32.07834736,20.52402606
2014,CP-SP-150-C,CPP-150,2,12.67928986,25.60310458,20.19285376
2014,CP-SP-150-C,CPP-150,2,11.87537539,20.55001065,17.3047251
2014,CP-SPPOLY-150-C,CPPPOLY-150,2,13.0161792,20.30764253,15.60184615
2014,CP-SPPOLY-150-S,CPPPOLY-150,2,15.19806494,18.97677025,12.48630686
2014,CP-SPPOLY-150-S,CPPPOLY-150,2,16.17546778,31.30953151,19.35618304
2014,CP-SPPOLY-150-S,CPPPOLY-150,2,10.8909673,16.01064429,14.70084691
2014,CP-SPPOLY-150-C,CPPPOLY-150,2,15.04707379,28.86722103,19.18460787
2014,CP-SPPOLY-150-C,CPPPOLY-150,2,13.33414656,34.29526527,25.71988025
2014,CP-SPPOLY-150-S,CPPPOLY-150,2,12.9186432,23.49688175,18.18835104
2015,CP-SPUREA-150-S,CPPPOLY-150,2,31.84287053,71.07030607,22.31906386
2015,CP-SPUREA-150-C,CPPUREA-150,2,26.15837491,30.917504,11.81935197
2015,CP-SPUREA-150-C,CPPUREA-150,2,29.78108954,40.48267009,13.59341472
2015,CP-SPUREA-150-S,CPPUREA-150,2,5.201887488,13.16329227,25.30483848
2015,CP-SPUREA-150-S,CPPUREA-150,2,27.29905843,73.10104333,26.77786251
2015,CP-SPUREA-150-S,CPPUREA-150,2,22.60728422,71.71282224,31.72111322
2015,CP-SPUREA-150-C,CPPUREA-150,2,15.31285939,25.16393134,16.43320212
2015,CP-SPUREA-150-C,CPPUREA-150,2,23.08169933,40.0049987,17.33191224
2015,CP-SP-150-C,CPP-150,2,28.1683968,37.68693091,13.37915366
2015,CP-SP-150-S,CPP-150,2,29.47664717,50.18795044,17.02634297
2015,CP-SP-150-C,CPP-150,2,25.82405402,34.53757718,13.37418871
2015,CP-SP-150-S,CPP-150,2,29.80690406,67.0409962,22.4917677
2015,CP-SP-150-C,CPP-150,2,21.79919846,43.09010848,19.76683159
2015,CP-SP-150-C,CPP-150,2,16.91917978,32.50689261,19.21304285
2015,CP-SP-150-S,CPP-150,2,21.31824845,40.50002116,18.99781835
2015,CP-SP-150-S,CPP-150,2,21.69980928,31.83741223,14.67174749
2015,CP-SPPOLY-150-S,CPPPOLY-150,2,9.769270784,22.04830554,22.56903922
2015,CP-SPPOLY-150-S,CPPPOLY-150,2,24.57692621,37.44984526,15.23780677
2015,CP-SPPOLY-150-C,CPPPOLY-150,2,39.26106854,39.25708449,9.99898524
2015,CP-SPPOLY-150-C,CPPPOLY-150,2,17.04519629,30.58869812,17.94564146
2015,CP-SPPOLY-150-C,CPPPOLY-150,2,18.46024858,24.96630649,13.52436095
2015,CP-SPPOLY-150-S,CPPPOLY-150,2,19.34987443,38.64928539,19.97392052
2015,CP-SPPOLY-150-S,CPPPOLY-150,2,20.79399245,55.94800424,26.90585003
2015,CP-SPPOLY-150-C,CPPPOLY-150,2,22.57139098,32.42517142,14.3656062
2011,CP-SPUREA-150-S,CPPUREA-150,3,3.08364128,3.378024311,10.95466043
2011,CP-SPUREA-150-C,CPPUREA-150,3,2.83151072,2.798328965,9.88281254
2011,CP-SPUREA-150-C,CPPUREA-150,3,3.177080768,4.26210899,13.41517356
2011,CP-SPUREA-150-S,CPPUREA-150,3,2.7686,3.723827377,13.45021808
2011,CP-SPUREA-150-S,CPPUREA-150,3,4.72415616,4.055100993,8.583757302
2011,CP-SPUREA-150-S,CPPUREA-150,3,1.241925888,2.107257615,16.96765995
2011,CP-SPUREA-150-C,CPPUREA-150,3,0.349373952,0.574651599,16.44803786
2011,CP-SPUREA-150-C,CPPUREA-150,3,3.66150144,6.282229104,17.15752187
